item	topic	related_property	note	source
LGBT comic (Q61745175)	Arts & culture	instance of (P31) or sublass of (P279)		Wikidata:WikiProject_LGBT
LGBT film festival (Q62018250)	Arts & culture	instance of (P31) or sublass of (P279)		Wikidata:WikiProject_LGBT
LGBT film award (Q61744628)	Arts & culture	instance of (P31) or sublass of (P279)		Wikidata:WikiProject_LGBT
LGBT chorus (Q1820625)	Arts & culture	instance of (P31) or sublass of (P279)		Wikidata:WikiProject_LGBT
LGBT event (Q64348974)	Arts & culture	instance of (P31) or sublass of (P279)		Wikidata:WikiProject_LGBT
LGBT archive (Q61710689)	Arts & culture	instance of (P31) or sublass of (P279)		Wikidata:WikiProject_LGBT
LGBT place (Q64364539)	Places & organizations	instance of (P31)	" (only if more specific item doesn't exist)"	Wikidata:WikiProject_LGBT
gay bar (Q1043639)	Places & organizations	instance of (P31)		Wikidata:WikiProject_LGBT
LGBTQ bar (Q105321449)	Places & organizations	instance of (P31)		Wikidata:WikiProject_LGBT
LGBT museum (Q61710650)	Places & organizations	instance of (P31)		Wikidata:WikiProject_LGBT
LGBT community center (Q2945640)	Places & organizations	instance of (P31)		Wikidata:WikiProject_LGBT
LGBTIQA+ bookshop (Q61696039)	Places & organizations	instance of (P31)		Wikidata:WikiProject_LGBT
LGBT publisher (Q61755026)	Places & organizations	instance of (P31)		Wikidata:WikiProject_LGBT
LGBTI association (Q64606659)	Places & organizations	instance of (P31)		Wikidata:WikiProject_LGBT
LGBT literature (Q10318944)	Genre	genre (P136)		Wikidata:WikiProject_LGBT
LGBT-related film (Q20442589)	Genre	genre (P136)		Wikidata:WikiProject_LGBT
LGBT+ rights (Q17625913)	Field of Work/Subject	field of work (P101) or main subject (P921)		Wikidata:WikiProject_LGBT
transgender rights (Q6517455)	Field of Work/Subject	field of work (P101) or main subject (P921)		Wikidata:WikiProject_LGBT
LGBT rights in Austria (Q680831)	Field of Work/Subject	field of work (P101) or main subject (P921)		Wikidata:WikiProject_LGBT
LGBT rights in France (Q1286736)	Field of Work/Subject	field of work (P101) or main subject (P921)		Wikidata:WikiProject_LGBT
LGBT rights in Pakistan (Q1569096)	Field of Work/Subject	field of work (P101) or main subject (P921)		Wikidata:WikiProject_LGBT
boba es piña (Q943711)	Field of Work/Subject	field of work (P101) or main subject (P921)		Wikidata:WikiProject_LGBT
LGBT rights in the United States (Q664194)	Field of Work/Subject	field of work (P101) or main subject (P921)		Wikidata:WikiProject_LGBT
sexuality studies (Q2122680)	Field of Work/Subject	field of work (P101) or main subject (P921)		Wikidata:WikiProject_LGBT
gender studies (Q1662673)	Field of Work/Subject	field of work (P101) or main subject (P921)		Wikidata:WikiProject_LGBT
gendered expression (Q15404978)	Field of Work/Subject	field of work (P101) or main subject (P921)		Wikidata:WikiProject_LGBT
human sexuality (Q154136)	Field of Work/Subject	field of work (P101) or main subject (P921)		Wikidata:WikiProject_LGBT
sexual orientation (Q17888)	Field of Work/Subject	field of work (P101) or main subject (P921)		Wikidata:WikiProject_LGBT
gender identity (Q48264)	Field of Work/Subject	field of work (P101) or main subject (P921)		Wikidata:WikiProject_LGBT
sexology (Q170912)	Field of Work/Subject	field of work (P101) or main subject (P921)		Wikidata:WikiProject_LGBT
LGBT adoption (Q17900)	Field of Work/Subject	field of work (P101) or main subject (P921)		Wikidata:WikiProject_LGBT
LGBT parenting (Q46839)	Field of Work/Subject	field of work (P101) or main subject (P921)		Wikidata:WikiProject_LGBT
sexual orientation and military service (Q2673498)	Field of Work/Subject	field of work (P101) or main subject (P921)		Wikidata:WikiProject_LGBT
LGBTI rights activist (Q19509201)	Occupation	occupation (P106)		Wikidata:WikiProject_LGBT
pride flag (Q7242811)	other			Wikidata:WikiProject_LGBT
LGBTIQA+ awareness period (Q61740765)	other			Wikidata:WikiProject_LGBT
coming out (Q208099)	other			Wikidata:WikiProject_LGBT
lesbian bar (Q30324198)	Places & organizations	instance of (P31)		own research
LGBT historic place (Q29469577)	Places & organizations	instance of (P31)		own research